phase,sponsor_type,enrollment_count,intervention_type,n_arms,has_dmc,allocation,masking,primary_purpose,n_primary_outcomes,n_secondary_outcomes,outcomes_ratio,n_locations,is_multicenter,has_us_site,n_collaborators,abandoned
NA,OTHER,15.0,PROCEDURE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,2,2.0,1,0,1,0,0
PHASE1,INDUSTRY,40.0,DRUG,2,,NON_RANDOMIZED,NONE,TREATMENT,3,1,0.3333333333333333,1,0,0,0,0
NA,OTHER,60.0,PROCEDURE,2,,RANDOMIZED,NONE,TREATMENT,1,4,4.0,1,0,0,0,0
NA,OTHER,65.0,DIETARY_SUPPLEMENT,3,0.0,RANDOMIZED,SINGLE,BASIC_SCIENCE,3,5,1.6666666666666667,1,0,0,0,0
PHASE4,OTHER,200.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,10,10.0,18,1,0,2,0
PHASE3,INDUSTRY,356.0,DRUG,4,0.0,RANDOMIZED,DOUBLE,TREATMENT,2,1,0.5,1,0,0,0,0
PHASE3,INDUSTRY,726.0,COMBINATION_PRODUCT,3,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,31,15.5,118,1,1,0,0
EARLY_PHASE1,OTHER,0.0,DEVICE,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,1,0,1
PHASE2,INDUSTRY,200.0,DRUG,4,,RANDOMIZED,DOUBLE,TREATMENT,1,0,0.0,1,0,0,0,0
PHASE4,INDUSTRY,129.0,DRUG,2,,RANDOMIZED,QUADRUPLE,TREATMENT,1,4,4.0,1,0,1,0,0
PHASE2,INDUSTRY,19.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,5,0,0.0,7,1,0,0,0
NA,OTHER,20.0,DIETARY_SUPPLEMENT,2,,RANDOMIZED,NONE,TREATMENT,2,1,0.5,1,0,0,0,0
NA,INDUSTRY,18.0,DEVICE,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,9,9.0,2,1,0,0,0
NA,OTHER,31.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,0,0.0,1,0,0,0,0
PHASE2/PHASE3,OTHER,30.0,DRUG,2,1.0,NON_RANDOMIZED,NONE,OTHER,1,0,0.0,1,0,1,1,0
NA,OTHER_GOV,60.0,PROCEDURE,3,0.0,RANDOMIZED,DOUBLE,PREVENTION,5,0,0.0,2,1,0,0,0
PHASE2,OTHER,62.0,DRUG,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,4,4.0,1,0,0,0,0
PHASE3,INDUSTRY,89.0,BIOLOGICAL,2,1.0,RANDOMIZED,NONE,PREVENTION,1,0,0.0,14,1,0,4,0
PHASE3,INDUSTRY,306.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,2,2,1.0,0,0,0,0,0
PHASE3,INDUSTRY,136.0,DRUG,2,,RANDOMIZED,QUADRUPLE,TREATMENT,2,14,7.0,20,1,0,0,1
NA,OTHER,100.0,PROCEDURE,2,1.0,RANDOMIZED,NONE,PREVENTION,1,2,2.0,2,1,0,0,0
NA,OTHER,0.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,PREVENTION,1,5,5.0,0,0,0,1,1
PHASE1,OTHER,34.0,DRUG,3,0.0,RANDOMIZED,QUADRUPLE,BASIC_SCIENCE,2,2,1.0,1,0,0,0,0
PHASE3,INDUSTRY,614.0,DRUG,3,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,7,7.0,61,1,0,0,0
NA,OTHER,83.0,OTHER,3,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,1,0
PHASE1,OTHER,45.0,DRUG,2,0.0,RANDOMIZED,SINGLE,TREATMENT,2,1,0.5,1,0,1,0,0
PHASE1,INDUSTRY,18.0,DRUG,8,0.0,RANDOMIZED,NONE,TREATMENT,2,2,1.0,1,0,0,1,0
EARLY_PHASE1,OTHER,2.0,DRUG,2,0.0,NON_RANDOMIZED,NONE,TREATMENT,4,0,0.0,1,0,1,0,1
PHASE2,OTHER,,PROCEDURE,0,,RANDOMIZED,SINGLE,TREATMENT,0,0,0.0,0,0,0,0,0
PHASE1,INDUSTRY,51.0,DRUG,2,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,4,4.0,5,1,1,0,0
PHASE3,NETWORK,859.0,DRUG,2,1.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,1,0,1,5,1
PHASE4,INDUSTRY,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,1,19,19.0,33,1,1,0,0
NA,OTHER,141.0,DEVICE,2,0.0,RANDOMIZED,NONE,OTHER,1,4,4.0,2,1,1,2,1
NA,OTHER,50.0,BEHAVIORAL,2,1.0,NON_RANDOMIZED,NONE,OTHER,1,0,0.0,1,0,1,1,0
PHASE1/PHASE2,INDUSTRY,43.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,3,1.5,10,1,0,1,0
PHASE2,OTHER,0.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,0,0.0,2,1,1,1,1
NA,OTHER,300.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,HEALTH_SERVICES_RESEARCH,1,5,5.0,1,0,1,0,0
PHASE1,NIH,50.0,OTHER,2,,RANDOMIZED,DOUBLE,PREVENTION,10,19,1.9,1,0,1,0,0
PHASE3,INDUSTRY,50.0,DRUG,3,,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,23,1,0,0,1
NA,OTHER,31.0,OTHER,2,0.0,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,1,0,0.0,1,0,1,2,0
NA,OTHER,204.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,5,0,0.0,1,0,1,0,0
PHASE1/PHASE2,INDUSTRY,0.0,DRUG,2,,NON_RANDOMIZED,NONE,TREATMENT,3,0,0.0,3,1,1,0,1
PHASE3,INDUSTRY,237.0,DRUG,3,1.0,RANDOMIZED,TRIPLE,PREVENTION,1,4,4.0,1,0,1,0,1
NA,INDUSTRY,40.0,DRUG,7,0.0,RANDOMIZED,DOUBLE,TREATMENT,2,3,1.5,1,0,0,0,0
PHASE1/PHASE2,INDUSTRY,518.0,BIOLOGICAL,8,0.0,RANDOMIZED,QUADRUPLE,PREVENTION,20,7,0.35,20,1,1,0,0
PHASE4,OTHER,18.0,DRUG,2,,RANDOMIZED,SINGLE,TREATMENT,0,0,0.0,0,0,0,0,0
PHASE2,OTHER,2.0,DRUG,2,0.0,RANDOMIZED,NONE,DIAGNOSTIC,1,0,0.0,1,0,0,1,1
NA,OTHER,50.0,PROCEDURE,2,,RANDOMIZED,QUADRUPLE,TREATMENT,8,25,3.125,1,0,0,0,0
PHASE4,OTHER,123.0,DIETARY_SUPPLEMENT,3,0.0,RANDOMIZED,SINGLE,PREVENTION,1,1,1.0,1,0,0,0,0
NA,OTHER,12.0,OTHER,3,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,2,2,1.0,1,0,0,0,0
NA,OTHER,80.0,DEVICE,2,1.0,RANDOMIZED,NONE,UNKNOWN,1,7,7.0,1,0,1,0,0
PHASE1,OTHER,24.0,DEVICE,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,1,0,0
PHASE4,OTHER,0.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,1,0,1,0,1
PHASE2,OTHER_GOV,0.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,5,5.0,1,0,0,0,1
NA,OTHER,58.0,BEHAVIORAL,3,,RANDOMIZED,NONE,TREATMENT,1,4,4.0,1,0,1,0,0
NA,OTHER,30.0,DEVICE,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,5,5.0,2,1,0,1,0
PHASE4,NIH,,DRUG,0,,RANDOMIZED,NONE,TREATMENT,0,0,0.0,1,0,0,0,0
NA,OTHER,15.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,4,4.0,1,0,1,0,0
EARLY_PHASE1,OTHER,19.0,BIOLOGICAL,12,1.0,NON_RANDOMIZED,NONE,OTHER,3,5,1.6666666666666667,1,0,0,0,0
NA,OTHER,73.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,PREVENTION,9,0,0.0,0,0,0,1,0
PHASE1,INDUSTRY,14.0,DRUG,4,,NON_RANDOMIZED,NONE,BASIC_SCIENCE,1,2,2.0,1,0,1,0,0
PHASE2/PHASE3,OTHER,1200.0,DRUG,2,1.0,RANDOMIZED,NONE,TREATMENT,1,19,19.0,60,1,1,1,0
PHASE2,OTHER,172.0,DRUG,4,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,3,3.0,1,0,0,1,0
NA,OTHER,66.0,DRUG,2,,RANDOMIZED,SINGLE,TREATMENT,4,7,1.75,1,0,0,0,0
NA,OTHER,49.0,BEHAVIORAL,2,,RANDOMIZED,SINGLE,TREATMENT,1,3,3.0,0,0,0,1,0
PHASE4,OTHER,30.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,PREVENTION,1,6,6.0,1,0,1,0,0
NA,OTHER,70.0,PROCEDURE,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,7,7.0,1,0,0,1,0
NA,OTHER,13.0,DEVICE,2,1.0,RANDOMIZED,NONE,TREATMENT,1,7,7.0,1,0,0,1,0
NA,OTHER,141.0,BEHAVIORAL,3,0.0,RANDOMIZED,DOUBLE,TREATMENT,8,15,1.875,1,0,0,5,0
PHASE2,INDUSTRY,15.0,DRUG,0,,NON_RANDOMIZED,NONE,TREATMENT,0,0,0.0,0,0,0,0,1
PHASE2,OTHER,10.0,DRUG,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,13,13.0,3,1,0,0,1
NA,OTHER,,BEHAVIORAL,0,,RANDOMIZED,NONE,UNKNOWN,5,2,0.4,1,0,1,1,0
PHASE1,OTHER,10.0,PROCEDURE,0,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,0,0,0
PHASE3,INDUSTRY,176.0,BIOLOGICAL,2,,RANDOMIZED,DOUBLE,PREVENTION,4,1,0.25,0,0,0,0,0
NA,OTHER,16.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,1,1
NA,OTHER,1013.0,DRUG,3,0.0,RANDOMIZED,DOUBLE,PREVENTION,1,5,5.0,1,0,0,0,0
PHASE1,INDUSTRY,84.0,DRUG,2,0.0,RANDOMIZED,NONE,UNKNOWN,3,0,0.0,1,0,1,0,0
PHASE3,INDUSTRY,1717.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,2,5,2.5,269,1,1,2,0
NA,OTHER,18.0,DEVICE,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,9,9.0,1,0,0,11,0
PHASE2,OTHER,10.0,DRUG,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,2,1,1,2,1
NA,OTHER,0.0,DRUG,2,0.0,RANDOMIZED,NONE,UNKNOWN,1,0,0.0,0,0,0,0,1
PHASE3,OTHER,617.0,DEVICE,2,0.0,RANDOMIZED,TRIPLE,DIAGNOSTIC,1,1,1.0,1,0,0,0,0
PHASE3,INDUSTRY,2624.0,DRUG,5,,RANDOMIZED,DOUBLE,TREATMENT,3,27,9.0,239,1,1,0,0
PHASE1,OTHER,0.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,4,11,2.75,0,0,0,0,1
NA,OTHER,115.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,PREVENTION,1,2,2.0,1,0,1,0,0
NA,INDUSTRY,721.0,DIETARY_SUPPLEMENT,4,0.0,RANDOMIZED,QUADRUPLE,SUPPORTIVE_CARE,1,1,1.0,1,0,0,0,0
NA,OTHER,20.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,2,2,1.0,1,0,0,0,0
PHASE3,INDUSTRY,330.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,2,0,0.0,30,1,1,0,0
NA,OTHER,30.0,DEVICE,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER,26.0,BEHAVIORAL,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,2,2,1.0,1,0,0,0,0
NA,OTHER,50.0,OTHER,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,5,6,1.2,2,1,1,2,0
NA,OTHER,50.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,2,2.0,1,0,0,0,0
NA,OTHER,136.0,DRUG,4,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,4,2.0,1,0,0,0,0
NA,OTHER,15.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,2,0,0.0,1,0,1,0,1
NA,OTHER,24.0,PROCEDURE,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,2,2.0,1,0,0,0,0
PHASE2/PHASE3,OTHER,50.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,0,0.0,1,0,0,0,0
PHASE1,INDUSTRY,27.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,2,1,1,0,0
NA,OTHER,154.0,OTHER,2,0.0,NON_RANDOMIZED,NONE,SUPPORTIVE_CARE,1,6,6.0,1,0,0,1,0
NA,OTHER,4.0,DIETARY_SUPPLEMENT,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,1,1.0,1,0,1,1,0
PHASE2/PHASE3,OTHER,120.0,DEVICE,2,1.0,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,1,4,4.0,1,0,0,2,0
PHASE3,INDUSTRY,674.0,DRUG,4,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,13,13.0,60,1,1,0,0
EARLY_PHASE1,OTHER,26.0,DRUG,3,1.0,NON_RANDOMIZED,NONE,PREVENTION,2,6,3.0,3,1,1,0,0
NA,INDUSTRY,236.0,DEVICE,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,3,3.0,1,0,0,0,0
NA,OTHER_GOV,1360.0,OTHER,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,2,2.0,1,0,0,0,0
NA,OTHER,73.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,PREVENTION,1,9,9.0,1,0,1,1,0
PHASE4,INDUSTRY,30.0,DRUG,5,0.0,NON_RANDOMIZED,NONE,BASIC_SCIENCE,8,21,2.625,2,1,0,1,0
PHASE1,INDUSTRY,104.0,DRUG,2,0.0,RANDOMIZED,NONE,OTHER,2,0,0.0,1,0,1,0,0
PHASE1,INDUSTRY,1.0,DRUG,1,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,2,2.0,2,1,1,0,1
NA,OTHER,16181.0,BEHAVIORAL,6,0.0,RANDOMIZED,SINGLE,PREVENTION,2,4,2.0,1,0,1,0,0
NA,OTHER,40.0,PROCEDURE,2,,RANDOMIZED,NONE,TREATMENT,1,0,0.0,1,0,0,0,0
PHASE4,OTHER,40.0,DRUG,4,1.0,RANDOMIZED,DOUBLE,TREATMENT,2,3,1.5,1,0,1,0,0
NA,OTHER,60.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,3,2,0.6666666666666666,1,0,1,0,0
PHASE2,OTHER,24.0,DRUG,4,1.0,RANDOMIZED,SINGLE,TREATMENT,1,6,6.0,6,1,0,0,0
NA,OTHER,208.0,OTHER,3,,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,1,5,5.0,1,0,0,0,0
NA,OTHER,60.0,BEHAVIORAL,2,1.0,RANDOMIZED,NONE,PREVENTION,2,0,0.0,1,0,0,4,0
PHASE4,OTHER,35.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,5,5.0,1,0,0,0,0
NA,OTHER,38.0,PROCEDURE,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,6,6.0,1,0,0,0,0
PHASE4,OTHER,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,1,5,5.0,1,0,0,0,0
NA,INDUSTRY,,DEVICE,0,,NON_RANDOMIZED,NONE,TREATMENT,2,3,1.5,51,1,1,0,0
PHASE2,INDUSTRY,59.0,DRUG,3,1.0,NON_RANDOMIZED,NONE,TREATMENT,3,7,2.3333333333333335,27,1,1,1,1
PHASE3,INDUSTRY,,DRUG,0,0.0,RANDOMIZED,DOUBLE,TREATMENT,2,6,3.0,12,1,1,0,0
PHASE2,OTHER,10.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,PREVENTION,2,2,1.0,1,0,1,0,1
PHASE1,OTHER,20.0,BEHAVIORAL,1,0.0,RANDOMIZED,SINGLE,BASIC_SCIENCE,1,1,1.0,1,0,1,1,0
NA,OTHER,27.0,PROCEDURE,2,,NON_RANDOMIZED,SINGLE,DIAGNOSTIC,1,0,0.0,1,0,0,0,0
PHASE1,INDUSTRY,18.0,DRUG,2,,RANDOMIZED,DOUBLE,TREATMENT,5,0,0.0,1,0,0,0,1
PHASE2,OTHER,269.0,BIOLOGICAL,5,1.0,RANDOMIZED,TRIPLE,PREVENTION,1,12,12.0,10,1,0,1,0
PHASE4,INDUSTRY,20.0,OTHER,1,0.0,NON_RANDOMIZED,NONE,UNKNOWN,1,0,0.0,1,0,0,1,0
PHASE2/PHASE3,INDUSTRY,73.0,DRUG,6,1.0,RANDOMIZED,DOUBLE,TREATMENT,2,27,13.5,58,1,1,0,1
NA,INDUSTRY,63.0,DIETARY_SUPPLEMENT,2,0.0,RANDOMIZED,NONE,PREVENTION,1,0,0.0,1,0,0,0,0
PHASE2,INDUSTRY,39.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,SUPPORTIVE_CARE,3,2,0.6666666666666666,3,1,1,0,0
PHASE4,OTHER,52.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,3,3.0,1,0,0,0,0
NA,OTHER,59.0,DIAGNOSTIC_TEST,2,0.0,RANDOMIZED,NONE,DIAGNOSTIC,2,0,0.0,1,0,0,0,0
PHASE4,OTHER,20.0,PROCEDURE,0,,RANDOMIZED,SINGLE,DIAGNOSTIC,2,0,0.0,1,0,0,1,0
NA,OTHER,45.0,DEVICE,3,0.0,RANDOMIZED,SINGLE,TREATMENT,1,23,23.0,2,1,0,0,0
NA,OTHER,36.0,OTHER,3,1.0,RANDOMIZED,DOUBLE,TREATMENT,4,0,0.0,1,0,0,0,0
PHASE1,INDUSTRY,37.0,DRUG,3,0.0,RANDOMIZED,SINGLE,OTHER,1,0,0.0,0,0,0,1,0
NA,OTHER,34.0,OTHER,2,0.0,NON_RANDOMIZED,NONE,BASIC_SCIENCE,1,7,7.0,1,0,1,2,0
NA,OTHER,29.0,OTHER,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,3,3.0,1,0,1,1,0
NA,OTHER,56.0,DIAGNOSTIC_TEST,2,0.0,RANDOMIZED,NONE,TREATMENT,1,4,4.0,1,0,0,0,1
NA,OTHER,40.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,7,7.0,1,0,1,1,0
PHASE1/PHASE2,NIH,126.0,BIOLOGICAL,5,,RANDOMIZED,TRIPLE,PREVENTION,3,0,0.0,1,0,1,0,0
PHASE4,OTHER,415.0,DRUG,6,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,9,1,0,10,0
NA,OTHER,44.0,PROCEDURE,2,,NON_RANDOMIZED,NONE,PREVENTION,1,1,1.0,1,0,0,0,0
PHASE3,NETWORK,1772.0,OTHER,2,1.0,RANDOMIZED,TRIPLE,PREVENTION,1,2,2.0,532,1,1,5,0
NA,FED,282.0,OTHER,3,0.0,RANDOMIZED,NONE,UNKNOWN,1,0,0.0,1,0,1,1,0
PHASE2,NETWORK,109.0,DRUG,2,1.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,10,1,0,1,0
NA,FED,242.0,BEHAVIORAL,2,1.0,RANDOMIZED,NONE,TREATMENT,2,5,2.5,1,0,1,0,0
PHASE4,INDUSTRY,22.0,BIOLOGICAL,2,0.0,RANDOMIZED,NONE,TREATMENT,1,32,32.0,0,0,0,3,1
NA,OTHER,268.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,1,7,7.0,2,1,1,0,0
PHASE2,INDUSTRY,103.0,DRUG,3,0.0,RANDOMIZED,TRIPLE,TREATMENT,6,6,1.0,2,1,0,0,0
NA,OTHER,210.0,BEHAVIORAL,3,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,1,0
PHASE2,INDUSTRY,18.0,BIOLOGICAL,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,0,0.0,5,1,1,0,0
NA,OTHER,40.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,3,2,0.6666666666666666,1,0,0,0,0
PHASE4,OTHER,160.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,21,10.5,1,0,0,1,0
NA,OTHER,60.0,OTHER,2,0.0,RANDOMIZED,SINGLE,DIAGNOSTIC,2,3,1.5,1,0,0,1,0
NA,OTHER,66.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,3,0,0.0,2,1,0,1,0
PHASE2,INDUSTRY,375.0,DRUG,6,0.0,RANDOMIZED,DOUBLE,TREATMENT,2,27,13.5,0,0,0,1,0
PHASE1,OTHER,0.0,BEHAVIORAL,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,5,5.0,0,0,0,0,1
NA,OTHER,0.0,DEVICE,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,0,0.0,1,0,1,0,1
NA,OTHER,0.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,2,1,1,2,1
NA,OTHER,52.0,BEHAVIORAL,2,1.0,RANDOMIZED,DOUBLE,PREVENTION,2,8,4.0,1,0,0,1,0
NA,OTHER,37.0,BEHAVIORAL,2,1.0,RANDOMIZED,NONE,TREATMENT,3,12,4.0,1,0,0,0,0
NA,OTHER,198.0,DEVICE,3,0.0,RANDOMIZED,TRIPLE,PREVENTION,1,3,3.0,1,0,0,0,0
PHASE3,INDUSTRY,540.0,DRUG,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,3,3.0,57,1,0,3,0
PHASE3,INDUSTRY,127.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,17,17.0,14,1,1,0,0
NA,OTHER,68.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,15,15.0,1,0,0,0,0
NA,OTHER,33.0,OTHER,2,0.0,RANDOMIZED,NONE,OTHER,1,6,6.0,1,0,0,0,0
NA,OTHER,81.0,PROCEDURE,0,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,0,0,0,1,0
PHASE3,OTHER,42.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,3,3.0,0,0,0,0,0
NA,OTHER,80.0,OTHER,2,1.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,4,5,1.25,1,0,0,1,0
NA,OTHER,206.0,OTHER,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,1,1.0,1,0,1,0,0
NA,OTHER,100.0,OTHER,2,0.0,RANDOMIZED,NONE,UNKNOWN,1,0,0.0,1,0,0,0,0
PHASE2,INDUSTRY,104.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,2,2.0,1,0,1,0,0
PHASE2,INDUSTRY,7.0,DRUG,4,0.0,RANDOMIZED,NONE,TREATMENT,6,3,0.5,0,0,0,0,1
PHASE3,INDUSTRY,356.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,2,2.0,75,1,1,0,0
NA,OTHER,120.0,OTHER,3,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,1,0,0,0,0
